Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Shoot the Hero,2010,1,tt1332119,Action
Movie,Raavan,2010,6,tt1334470,Action
Movie,Fast Lane,2010,1,tt1335992,Action
Movie,The Wylds,2010,8,tt1336619,Action
Movie,Nokas,2010,10,tt1337366,Action
Movie,Mei loi ging chat,2010,4,tt1337055,Action
Movie,Brestskaya krepost,2010,11,tt1343703,Action
Movie,Nude Nuns with Big Guns,2010,9,tt1352388,Action
Movie,The Blue Seal,2010,7,tt1352672,Action
Movie,Jaljala,2010,11,tt13624634,Action
Movie,Inception,2010,7,tt1375666,Action
Movie,Gunless,2010,4,tt1376195,Action
Movie,Freight,2010,10,tt1376404,Action
Movie,When Soldiers Cry,2010,2,tt1378811,Action
Movie,Forged,2010,7,tt1380995,Action
Movie,Die Bielefeld Verschwörung,2010,6,tt1381403,Action
Movie,Cop Out,2010,3,tt1385867,Action
Movie,The Other Guys,2010,11,tt1386588,Action
Movie,The Dead,2010,9,tt1386925,Action
Movie,Ip Man 2,2010,4,tt1386932,Action
Movie,Baseline,2010,8,tt1390397,Action
Movie,Desafío,2010,11,tt1392982,Action
Movie,Once Upon a Time in Mumbaai,2010,7,tt1395054,Action
Movie,Project Purgatory,2010,,tt1395783,Action
Movie,Zatôichi: The Last,2010,5,tt1400558,Action
Movie,Slime City Massacre,2010,3,tt1401631,Action
Movie,Rage,2010,5,tt1403987,Action
Movie,The Bannen Way,2010,1,tt1404830,Action
Movie,Six Days in Paradise,2010,,tt1405414,Action
Movie,Le baltringue,2010,1,tt1405807,Action
Movie,Twelve,2010,1,tt1407084,Action
Movie,Krantiveer: The Revolution,2010,6,tt1408029,Action
Movie,13 Hrs,2010,8,tt1411232,Action
Movie,Deyueru masutazu en no kizuna XX,2010,8,tt14128502,Action
Movie,Gôruden suranbâ,2010,1,tt1413529,Action
Movie,Tracker,2010,4,tt1414378,Action
Movie,Texas Frightmare Massacre,2010,4,tt1416343,Action
Movie,Predators,2010,7,tt1424381,Action
Movie,True Legend,2010,2,tt1425257,Action
Movie,Money to Burn,2010,,tt1425930,Action
Movie,War Machine,2010,5,tt1426389,Action
Movie,The Boxer,2010,1,tt1426325,Action
Movie,Coursier,2010,2,tt1429429,Action
Movie,Alien Opponent,2010,8,tt1429382,Action
Movie,No Problem,2010,12,tt1431122,Action
Movie,Faster,2010,1,tt1433108,Action
