Tipo,nombre,anno,mes,id_peli
Movie,Sach Ki Jeet,2024,1,tt30781779
Movie,Snatched a Billionaire to be My Husband,2024,1,tt30782199
Movie,Cinema Bruciato,2024,1,tt30787489
Movie,Humanity Without a Home: Malachi's Redemption,2024,3,tt30787965
Movie,Pastkarte no Romas,2024,1,tt30788360
Movie,The Devil is on my Track,2024,1,tt30789359
Movie,TGPG Dylan Character Elimination,2024,1,tt30790473
Movie,Avantyura,2024,1,tt30791209
Movie,W.O.B.L.E.M. (When Will Our Black Lives Ever Matter?),2024,1,tt30797179
Movie,Prem No Padkar,2024,1,tt30801353
Movie,The Burned Hand,2024,1,tt30801826
Movie,Into the Public Domain,2024,11,tt30803405
Movie,Bengal Police Chapter 01: M16,2024,4,tt30798377
Movie,Shambhala,2024,2,tt30804400
Movie,Shahid,2024,8,tt30808146
Movie,Hakki,2024,4,tt30810790
Movie,Sex,2024,3,tt30810768
Movie,We Were Dangerous,2024,3,tt30813817
Movie,Ground,2024,2,tt30816925
Movie,A Starlet's Demise,2024,3,tt30818709
Movie,Identical,2024,1,tt30825700
Movie,Roleplay,2024,3,tt30825927
Movie,Prawda24,2024,1,tt30826112
Movie,Sevappi,2024,1,tt30828158
Movie,Sihinayaki Adare,2024,1,tt30828655
Movie,Pegasus 2,2024,2,tt30829309
Movie,The Little Spinster,2024,1,tt30829541
Movie,Nowruz,2024,2,tt30829777
Movie,Naboodanat,2024,2,tt30829833
Movie,Luces azules,2024,2,tt30831095
Movie,Kagojer Bou,2024,1,tt30832543
Movie,Sugarland,2024,11,tt30833160
Movie,Zhina Til Now,2024,2,tt30834637
Movie,The Mistress,2024,1,tt30834708
Movie,Family,2024,3,tt30834999
Movie,Songs from the Hole,2024,3,tt30835190
Movie,Kaagada,2024,2,tt30835251
Movie,Eclipsing,2024,3,tt30835792
Movie,Click,2024,2,tt30836377
Movie,Ikaw pa rin ang pipiliin ko,2024,2,tt30840611
Movie,The Snatcher,2024,3,tt30841078
Movie,Mr. November,2024,1,tt30842544
Movie,Xiao zi,2024,2,tt30842823
Movie,Bijoyar Pore,2024,1,tt30843854
Movie,RAM: Rapid Action Mission,2024,1,tt30850798
Movie,Visiting Hours,2024,5,tt30851085
Movie,Foram os Sussurros que Me Mataram,2024,1,tt30851950
Movie,Enemy of the Church,2024,1,tt30851979
Movie,Who?,2024,3,tt30851998
Movie,Sedin Kuyasha Chilo,2024,2,tt30853122
Movie,Cidade; Campo,2024,2,tt30858110
Movie,Tsena doveriya,2024,1,tt30868802
Movie,Kalo Bou,2024,1,tt30869202
Movie,Exile: Director's Cut,2024,2,tt30870197
Movie,Razaa-e-Ishq,2024,1,tt30872798
Movie,Room Service,2024,1,tt30876838
Movie,Sobhe Edam,2024,2,tt30877358
Movie,Dream Academy,2024,2,tt30886514
Movie,Miranda de viernes a lunes,2024,por estrenar,tt30886556
Movie,By Day They Meet with Darkness,2024,1,tt30886572
Movie,Criaturas Sorridentes,2024,1,tt30887050
Movie,Titus Puppet Vengeance,2024,3,tt30888732
Movie,30 Hours Survival: Gauraiya Live,2024,4,tt30889608
Movie,The Sabarmati Report,2024,8,tt30889755
Movie,The Diary of West Bengal,2024,2,tt30893648
Movie,Dogeudeijeu,2024,2,tt30911335
Movie,Last Swim,2024,2,tt30918821
Movie,Black Men Don't Cheat,2024,2,tt30947569
Movie,Tienes 24 horas,2024,2,tt30949192
Movie,Quell'estate con Irène,2024,2,tt30949231
Movie,Nepton,2024,2,tt30950894
Movie,Cu Li Không Bao Gio Khóc,2024,2,tt30953660
Movie,The Wrong Movie,2024,2,tt30954062
Movie,Ensaios sobre Yves,2024,5,tt30954419
Movie,Pieces 2024,2024,1,tt30954530
Movie,Henry Fonda for President,2024,2,tt30955793
Movie,Jamai Bou Batpar,2024,1,tt30958781
Movie,Can lan de ta,2024,3,tt30959032
Movie,Xiao Ban Jie,2024,2,tt30959077
